goos: linux
goarch: amd64
pkg: github.com/opencoff/go-sieve
cpu: 13th Gen Intel(R) Core(TM) i9-13900
BenchmarkGCPause_Comparison/Size_1000000-32                           	16142494	        83.40 ns/op	     99704 avg-gc-pause-ns	      4353 heap-objects	       2 B/op	       0 allocs/op
BenchmarkMemoryOverhead/Size_100000-32                                	54703081	        18.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkMemoryOverhead/Size_100000-32                                	59345431	        18.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkMemoryOverhead/Size_100000-32                                	58651876	        18.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkMemoryOverhead/Size_500000-32                                	22799808	        56.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkMemoryOverhead/Size_500000-32                                	20689298	        55.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkMemoryOverhead/Size_500000-32                                	24133844	        54.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkMemoryOverhead/Size_1000000-32                               	20209330	        58.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkMemoryOverhead/Size_1000000-32                               	18424306	        57.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkMemoryOverhead/Size_1000000-32                               	22438714	        60.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCPause_Final-32                                             	18441723	        86.46 ns/op	     99055 avg-gc-pause-ns	  84302840 heap-bytes	   1019302 heap-objects	       2 B/op	       0 allocs/op
BenchmarkGCPause_Final-32                                             	17871829	        84.41 ns/op	     99107 avg-gc-pause-ns	  84286528 heap-bytes	   1019025 heap-objects	       2 B/op	       0 allocs/op
BenchmarkGCPause_Final-32                                             	19095525	        84.57 ns/op	     98899 avg-gc-pause-ns	  84298048 heap-bytes	   1019205 heap-objects	       2 B/op	       0 allocs/op
BenchmarkMemoryTotal/Size_100000-32                                   	59615204	        18.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkMemoryTotal/Size_100000-32                                   	61358667	        19.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkMemoryTotal/Size_100000-32                                   	56658993	        18.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkMemoryTotal/Size_500000-32                                   	25170474	        41.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkMemoryTotal/Size_500000-32                                   	24172418	        56.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkMemoryTotal/Size_500000-32                                   	25074240	        52.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkMemoryTotal/Size_1000000-32                                  	20016222	        59.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkMemoryTotal/Size_1000000-32                                  	20557026	        58.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkMemoryTotal/Size_1000000-32                                  	20077630	        57.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkEviction_VaryingVisited/Visited_0%-32                        	 6435711	       199.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkEviction_VaryingVisited/Visited_0%-32                        	 6012973	       212.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkEviction_VaryingVisited/Visited_0%-32                        	 6783050	       203.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkEviction_VaryingVisited/Visited_50%-32                       	 6784460	       170.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkEviction_VaryingVisited/Visited_50%-32                       	 7420560	       164.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkEviction_VaryingVisited/Visited_50%-32                       	 7128294	       196.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkEviction_VaryingVisited/Visited_90%-32                       	 7207772	       173.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkEviction_VaryingVisited/Visited_90%-32                       	 7386342	       176.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkEviction_VaryingVisited/Visited_90%-32                       	 7161344	       170.0 ns/op	      16 B/op	       1 allocs/op
